id,name,brewery,style,alcohol,fruit,ibu,text
15,라 구달 아이이피에이,라 구달,인디아 페일 에일,7.2도,1,70,"전통적인 영국 IPA의 스타일을 구현한 맥주로, 홉 향을 즐기는 사람들을 위한 맥주다. 황금색을 띠고 있으며 시트러스, 열대과일 향과 자몽처럼 달콤 쌉쌀한 맛을 느낄 수 있다. 미국 워싱턴 주 Yakima 평원에서 재배한 몇 가지 홉을 넣어 이국적인 향과 강한 쓴맛을 즐길 수 있는 스타일이다.  "
16,라 구달 블론드 에일,라 구달,블론드 에일,7.2도,1,43,"전통적인 상면발효방식으로 만든 블론드 비어이다. 페일 몰트, 캐러멜 몰트에 세 가지 플랑드르 홉, 고수와 오렌지 필을 첨가해 향긋함을 더했다. 보리, 밀, 쌀 등 세 종류 곡물을 사용해 밝고 경쾌하면서 편안하게 즐길 수 있는 스타일이다. 상큼한 과일 향과 입 안에서 쌉쌀한 허브, 과일, 곡물의 맛이 느껴진다.  "
17,리틀 크래쳐스 브루잉 인디아 페일 에일,리틀 크래쳐스 브루잉,인디아 페일 에일,6.4도,1,60,"영국, 호주, 미국, 뉴질랜드의 다양한 홉을 사용해 패션프룻, 자몽의 달콤하고 쌉쌀한 향과 아니스의 스파이시한 아로마, 부드럽게 다듬어진 맛과 길고 쌉쌀한 여운을 즐길 수 있다. 강인한 스타일의 IPA 맥주로 클래식한 영국 스타일이나 시트러스가 많이 강조된 미국식이 아니라 리틀 크래쳐스만의 스타일을 찾아냈다. 홉의 다채로움을 즐길 수 있다.  "
18,리틀 크래쳐스 필스너,리틀 크래쳐스 브루잉,필스너,4.5도,0,32,"오리지널 필스너는 리틀 크래쳐스 브루어리 설립 초창기부터 판매했던 대표 맥주 중 하나다. 최근 양조 레시피를 바꾼 후 독일 북부지방 라거 맥주의 맛에 가까워졌다. 일반적으로 독일 북부지방 맥주는 남부지방 맥주에 비해 홉의 맛이 더 진하고 쌉쌀하다. 약간의 플로럴 향과 스파이시한 홉의 향기, 가볍고 깔끔하며 마셨을 때 입안이 개운해지는 쌉쌀함이 매력적이다.  "
19,리틀 크래쳐스 페일 에일,리틀 크래쳐스 브루잉,아메리칸 페일 에일,5.2도,1,35,"진한 시트러스 향과 신선한 각종 과일 향이 몰트 향과 조화를 이루어 산뜻한 맛과 향, 쌉쌀한 여운을 느낄 수 있는 크래프트 맥주다. 전 세계 각국에서 엄선해 가져온 스페셜티 몰트와 호주 페일 몰트를 적절히 블렌딩했으며 방부제나 첨가물이 들어가지 않아 맥주 고유의 신선한 맛을 즐길 수 있다.  "
20,마튼즈 바이젠 페트,마튼즈,바이젠,5도,1,25,"새콤달콤한 과일 향과 꽃 향기가 풍부한 밀맥주로 바이젠은 독일 바이에른 지방의 방식으로 만든 밀맥주를 뜻하며 최소 50%의 밀과 함께 보리를 섞어 상면발효방식으로 양조한다. 향긋한 오렌지, 바닐라 아로마와 풍부한 거품, 부드러운 맛을 갖고 있으며 부담스럽지 않고 어느 음식하고 곁들여도 잘 어울려 남녀노소 두루 좋아하는 스타일이며 특유의 상큼함 때문에 특히 여성들에게 인기 높다. 바이젠은 2013년 7월 국내 출시한 마튼즈 필스너 페트 맥주의 인기에 힘입어 2015년 1월 새로 출시된 라인이다. 마튼즈 필스너 페트는 2003년 마튼즈 사에서 기존 캔, 병 제품의 매출이 무려 30%나 하락하자 고심 끝에 내놓은 제품으로, 비교적 가볍고 휴대가 간편하며 마시다 남은 맥주의 마개를 다시 닫아 보관할 수 있어 폭발적인 반응을 얻으며 성공했다. 페트는 재활용이 가능하며, 품질이 변질되지 않도록 자외선을 차단하는 특수 코팅을 입혀 가정에서도 걱정 없이 보관이 가능하다.  "
21,마튼즈 엑스포트 페트,마튼즈,라거,5도,0,15,"2003년 마튼즈 사에서 기존 캔, 병 제품의 매출이 무려 30%나 하락하자 고심 끝에 내놓은 제품으로, 비교적 가볍고 휴대가 간편하며 마시다 남은 맥주는 마개를 다시 닫아 보관할 수 있어 폭발적인 반응을 얻으며 성공했다. 페트는 재활용이 가능하며, 품질이 변질되지 않도록 자외선을 차단하는 특수 코팅을 입혀 가정에서도 걱정 없이 보관이 가능하다. 캠핑이나 피크닉 등 야외활동 시 유용하며 유리병 반입이 금지된 해수욕장에도 들고 갈 수 있다. 생선회나 해물요리, 소시지 구이, 삼겹살, 매콤하게 요리한 요리 등 다양한 안주와 무난하게 어울리는 스타일이다."
22,마튼즈 벨지안 골드 페트,마튼즈,라거,5도,0,15,"2003년 마튼즈 사에서 기존 캔, 병 제품의 매출이 무려 30%나 하락하자 고심 끝에 내놓은 제품으로, 비교적 가볍고 휴대가 간편하며 마시다 남은 맥주는 마개를 다시 닫아 보관할 수 있어 폭발적인 반응을 얻으며 성공했다. 페트는 재활용이 가능하며, 품질이 변질되지 않도록 자외선을 차단하는 특수 코팅을 입혀 가정에서도 걱정 없이 보관이 가능하다. 캠핑이나 피크닉 등 야외활동 시 유용하며 유리병 반입이 금지된 해수욕장에도 들고 갈 수 있다. 생선회나 해물요리, 소시지 구이, 삼겹살, 매콤하게 요리한 요리 등 다양한 안주와 무난하게 어울리는 스타일이다. "
23,윌리안브로이 다크 라거,마튼즈,다크 라거,5도,0,15,다크 브라운 컬러에 황갈색의 크리미한 거품을 갖고 있으며 입안에서 느껴지는 두드러지는 몰트 맛과 신선한 호프의 맛이 복합적으로 느껴진다. 국내 최저가 수입맥주로 선풍적인 인기를 얻었던 윌리안브로이 브랜드에서 2013년 12월 새로 출시한 다크 라거 맥주이다.  
24,윌리안브로이 알트 에일,마튼즈,알트 에일,4.9도,0,25,"밝은 호박색과 크리미한 헤드, 호프 특유의 쌉쌀한 맛이 특징이다. 알트 에일은 독일 뒤셀도르프 지방의 양조법으로 상면발효 방식으로 만들어진 에일 방식의 맥주를 일컫는 말이다. 국내 최저가 수입맥주로 선풍적인 인기를 얻었던 윌리안브로이 브랜드에서 2013년 12월 새로 출시한 에일 방식 맥주이다.  "
25,마튼즈 필스너 페트,마튼즈,필스너,5도,0,32,"정통 라거 맥주 양조방식으로 만들어져 황금빛 색깔과 라거 맥주 특유의 강렬한 호프 향, 적당한 탄산을 가지고 있다. 마튼즈 社의 노하우로 부드러운 목넘김과 깔끔한 청량감이 뛰어나다. 2003년 마튼즈 사에서 기존 캔, 병 제품의 매출이 무려 30%나 하락하자 고심 끝에 내놓은 제품으로, 비교적 가볍고 휴대가 간편하며 마시다 남은 맥주는 마개를 다시 닫아 보관할 수 있어 폭발적인 반응을 얻으며 성공했다. 페트는 재활용이 가능하며, 품질이 변질되지 않도록 자외선을 차단하는 특수 코팅을 입혀 가정에서도 걱정 없이 보관이 가능하다. 캠핑이나 피크닉 등 야외활동 시 유용하며 유리병 반입이 금지된 해수욕장에도 들고 갈 수 있다. 생선회나 해물요리, 소시지 구이, 삼겹살, 매콤하게 요리한 요리 등 다양한 안주와 무난하게 어울리는 스타일이다.  "
26,담버거 엑스포트,마튼즈,라거,5도,0,15,"하면발효로 만든 후 장기숙성으로 인해 필스 라거보다 더 부드러운 스타일이다. 풍부한 거품과 잘 숙성된 황금빛, 균형 잡힌 몰트와 호프의 배율로 목넘김이 좋다.  "
27,하켄버그 필스 라거,마튼즈,라거,5도,0,15,"황금빛깔과 부드러운 거품, 필스 라거 맥주의 특징인 기분 좋은 쓴맛과 풍부한 호프 향을 가진 맥주로 단맛이 적은 맥주를 선호하는 사람에게 추천할 만하다.  "
28,윌리안브로이 바이젠,마튼즈,바이젠,5도,1,25,새콤달콤한 과일 향과 꽃 향기가 풍부한 밀맥주로 국내 최저가 수입맥주로 론칭되어 폭발적인 반응을 얻고 있으며 특히 여성들에게 인기 높다.  
29,마튼즈 필스너,마튼즈,필스너,5도,0,32,"유럽 현지 대형할인점을 중심으로 맛과 품질에 있어 이미 대중성을 인정 받은 상품이다. 필스너 특유의 호프 향과 부드러운 목넘김, 깔끔한 맛을 지녔다.  "
30,베이스 캠프 인텐스 인디아 페일 라거 ,베이스 캠프 브루잉 컴퍼니,인디아 페일 라거,6.8도,0,55,"베이스 캠프 브루잉의 플래그쉽 맥주로 황갈색을 띠고 있으며 크리스피하고 산뜻한 라거 맥주의 캐릭터와 복합적이고 무게감 있는 특성이 균형을 이루고 있다. 드라이 홉과 직접 토스팅한 화이트 오크, 레드 오크에 숙성했다. 홉 특유의 야생 꽃 향기와 소나무 아로마, 몰티한 맛과 약간의 오크 뉘앙스를 갖고 있으며 산뜻하고 부드러운 여운이 인상적이다.  "
31,베이스 캠프 필그리메이지 세종,베이스 캠프 브루잉 컴퍼니,세종,7.1도,1,29,"벨기에와 오레곤 양조 전통을 넘나들며 만든 세종 맥주이다. 플로럴, 시트러스 계열의 향과 그레인 오브 파라다이스(Grains of Paradise) 향신료에서 나는 후추 향이 느껴지며 허니 몰트, 윌라멧 밸리에서 재배한 드라이 홉이 균형감과 라운디한 맛을 더한다. 베이스 캠프의 창의성과 노력이 집약된 독특한 개성의 맥주이다.  "
32,베이스 캠프 스모어 스타우트 ,베이스 캠프 브루잉 컴퍼니,스타우트,7.7도,1,66,"초콜릿, 커피, 무화과, 스모키한 아로마를 시작으로 진하고 몰티한 맛을 느끼게 해주며 입 안에서 초콜릿, 캐러멜, 과일의 맛이 어우러진다. 진한 향과 풍미가 알코올과 균형을 이루고 있으며 전체적으로 부드럽고 잘 정제된 캐릭터를 가진 스타우트 맥주이다. 구운 머시멜로우와 잘 어울리는 캐릭터를 지녀 스모어 (구운 머시멜로우를 초콜릿과 함께 크래커 사이에 끼워 먹는 캠핑용 간식의 일종) 스타우트로 이름 지었다.  "
33,베이스 캠프 울트라 나르 나르 아이피에이 ,베이스 캠프 브루잉 컴퍼니,인디아 페일 에일,6.7도,1,60,"진하고 선 굵은 호프의 맛과 향, 몰티한 맥아와 오트밀의 벨벳처럼 부드러운 질감을 가진 IPA 맥주이다. 오레곤에서 재배한 여섯 가지 다른 홉을 사용해 맛과 향이 복합적이며, 시트러스, 소나무, 열대과일의 향이 가미되어 어느 계절이나 즐겁게 마실 수 있는 스타일이다.  "
34,베이스 캠프 로스트 메리디안 위트 ,베이스 캠프 브루잉 컴퍼니,위트 비어,5도,1,20,"불투명한 밝은 색을 띠고 있으며 입 안에서 실크처럼 부드러운 감촉을 가진 벨지안 위트 맥주이다. 밀과 오트밀의 부드러움과 윌라멧 밸리에서 재배한 메리디안 홉에서 배어나는 경쾌한 시트러스 향, 미모사 같은 신선한 캐릭터가 나타나며 끝 맛에서 오렌지 과일의 맛과 샴페인 향을 느낄 수 있다.  "
35,스타로프라멘 프라하 라거,스타로프라멘,라거,5도,0,15,"1869년 양조장 설립과 동시에 출시되어 오늘날까지 프라하 시민들의 사랑을 한 몸에 받고 있는 맥주이다. 한 모금 마시기도 전에 호프의 향이 올라오며 입안에서 크림처럼 부드러운 거품, 부드러운 몰트 맛이 이어진다. 꽉 찬 맛과 적당히 쌉쌀한 여운, 완벽한 균형감을 가진 맥주이다.  "
36,아마르코드 AMA 비온다,아마르코드,벨지안 에일,6도,1,18,"AMA 시리즈는 이태리 크래프트 맥주 브루어리 ‘아마르코드’에서 양조전문가와 미식전문가가 모여 이태리 음식과 곁들여 가장 맛있는 맥주를 개발하겠다는 캠페인으로 탄생시킨 크래프트 맥주 브랜드이다. 엄선한 몰트와 홉, 아펜니노 산맥의 깨끗한 물을 사용했으며 병 안에서 2차 발효과정을 거쳐 풍부하면서도 섬세한 거품을 즐길 수 있다. 병입 후 일정 온도가 유지되는 생산실에서 발효 후 즉시 서늘한 곳으로 옮겨 맛과 향을 유지한다. AMA 비온다는 황금색을 띠고 있으며 섬세하면서도 독특한 프루티함을 갖고 있다. 시칠리안 오렌지 허니 블라섬에서 나오는 배 향이나 사과 브랜디 같은 아로마, 밝고 경쾌한 캐릭터의 맥주이며, 해산물 요리, 특히 애피타이저와 앙트레 류의 음식과 잘 맞는다.  "
37,아마르코드 AMA 브루나,아마르코드,벨지안 스트롱 에일 ,7.5도,0,20,"AMA 시리즈는 이태리 크래프트 맥주 브루어리 ‘아마르코드’에서 양조전문가와 미식전문가가 모여 이태리 음식과 곁들여 가장 맛있는 맥주를 개발하겠다는 캠페인으로 탄생시킨 크래프트 맥주 브랜드이다. 엄선한 몰트와 홉, 아펜니노 산맥의 깨끗한 물을 사용했으며 병 안에서 2차 발효과정을 거쳐 풍부하면서도 섬세한 거품을 즐길 수 있다. 병입 후 일정 온도가 유지되는 생산실에서 발효 후 즉시 서늘한 곳으로 옮겨 맛과 향을 유지한다. AMA 브루나는 병입 후 2차 발효 과정에서 브라운 캔디 슈가를 넣은 맥주이다. 입 안에서 부드러운 감촉과 복합적인 향을 느낄 수 있으며 몰티한 맛이 주를 이룬다. 향긋한 배 향과 함께 은은한 토피 아로마, 초콜릿, 시나몬 등의 캐릭터나 느껴진다.  "
38,아마르코드 AMA 모라,아마르코드,임페리얼 포터,9도,0,28,"AMA 시리즈는 이태리 크래프트 맥주 브루어리 ‘아마르코드’에서 양조전문가와 미식전문가가 모여 이태리 음식과 곁들여 가장 맛있는 맥주를 개발하겠다는 캠페인으로 탄생시킨 크래프트 맥주 브랜드이다. 엄선한 몰트와 홉, 아펜니노 산맥의 깨끗한 물을 사용했으며 병 안에서 2차 발효과정을 거쳐 풍부하면서도 섬세한 거품을 즐길 수 있다. 병입 후 일정 온도가 유지되는 생산실에서 발효 후 즉시 서늘한 곳으로 옮겨 맛과 향을 유지한다. AMA 모라는 말라위 슈거, 사탕수수, 파스쿠치 커피를 원료로 첨가해 만든 맥주이다. 강렬하지만 우아한 이탈리아 에스프레소를 표현해낸 맥주이며, 진한 맛과 함께 은은한 헤이즐넛 향이 느껴진다.  "
39,아마르코드 타바체라 앰버 에일,아마르코드,엠버 에일,9도,1,26,"호박색, 약간의 과일 향, 깊이있는 맛의 유니크한 스타일이다. 타바체라는 큰 가슴과 풍만한 몸집을 가졌으며 등장인물 중 가장 강렬한 인상을 주는 캐릭터 중 한명을 표현한 것이다.  "
40,아마르코드 미도나 골든 에일,아마르코드,골든 에일,6.5도,0,25,"황금빛 컬러와 진한 몰트 향, 풀 바디 스타일이다. 미도나는 1930년대 당시 전형적인 이탈리아 가정주부의 캐릭터이며, 다른 사람들을 기쁘게 해 주며 행복을 찾는 인물이다.  "
41,아마르코드 그라디스카 스페셜 블론드,아마르코드,라거,5.2도,0,22,"부드럽고 크리미한 맛, 호프의 개성을 살린 스타일이다. 그라디스카는 영화의 메인 캐릭터 중 하나로 모두가 꿈꾸지만 손에 닿지 않는 존재를 의미한다. 펠리니 감독의 이상형으로도 알려져 있다.  "
42,아마르코드 볼피나 레드 에일,아마르코드,레드 에일,6.5도,0,24,"루비 컬러와 약간의 계피향이 나는 맥주이다. 볼피나는 영화 속 등장인물 중 가장 아름다운 외모의 여인. 매력적인 웃음과 고혹적인 태도를 지녔으며 비밀스런 욕망, 유혹, 금기를 의미한다.  "
43,에치고 필스너 ,에치고,필스너,5도,0,26,"밝은 황금색을 띠고 있으며 풍성한 헤드를 갖고 있다. 체코 Zaaz 홉, 필스너 오리지널 홉을 사용해 향긋한 아로마와 기분 좋은 쓴 맛이 나며, Pisner, Carahell, Caraform 등 세 가지 프리미엄 몰트에서 나는 단맛과 드라이한 피니쉬가 균형을 이루고 있는 100% 올 몰트 맥주다. Footed Pilsner 글라스에 따라 가볍게 마실 수 있는 체코 스타일 필스너 맥주이자 에치고 브루어리를 대표하는 얼굴이다.  "
44,에치고 비어 블론드,에치고,에일,5도,0,26,"골드 컬러, 향긋한 홉 아로마가 두드러지는 잉글리쉬 스타일 에일 맥주이다. 드라이 비터 홉의 쌉쌀한 맛과 에일 효모, 아로마틱한 홉을 더해 나타나는 프루티한 맛이 조화로운 맛을 선사한다.  "
45,에치고 화이트 에일 (바이젠),에치고,에일,5도,0,16,"소맥맥아와 대맥맥아로 만든 독일남부전통의 밀맥주, 화이트 비어 스타일이며, 에치고 브루어리 설립 초창기부터 만들어온 제품이다. 직접 재배한 고 품질의 밀 몰트와 효모를 사용해 양조했으며 산뜻한 레몬, 달콤한 바나나 향과 부드러운 맛을 지녔다.  "
46,에치고 고시히카리 라이스 맥주,에치고,라거,5도,0,16,"일본 니가타 현의 특산품이자 일본에서 가장 인기 있는 쌀 품종인 고시히카리 쌀을 이용해 만든 드라이한 스타일(IBU 16)의 맥주이다. 황금색을 띠고 있으며 크리스피한 맛과 깔끔한 목넘김을 즐길 수 있는 라거 타입이다. 니가타 현에서만 수급이 가능한 독특한 맛의 고시히카리 쌀을 사용한 프리미엄급 스페셜티 그레인 맥주로, 일본 뿐 아니라 해외에서도 많은 인기를 얻고 있다.  "
47,도쿄 블랙 포터,요호 브루잉,포터,5.5도,0,45,"로스팅한 몰트와 홉의 균형감을 느낄 수 있는 로부스트 포터 스타일이다. 어둡게 로스팅한 스페셜티 몰트에서 배어나는 커피, 초콜릿의 복합적인 맛과 향, 그리고 Perle 홉의 특징인 플로럴 아로마와 약간의 스파이시한 여운이 특징이다. 쓴 맛보다는 고소함이 느껴지며 크리미한 거품, 매끄러운 감촉, 풍부한 맛을 느낄 수 있다.  "
48,인도의 도깨비 아이피에이,요호 브루잉,인디아 페일 에일,7도,0,70,"IPA 특유의 쌉쌀한 맛을 선호하는 홉 마니아들을 위한 맥주이다. 풍부한 헤드에 약간의 오렌지 컬러를 띠고 있으며, 스트롱 바디와 쓴맛의 환상적인 조화를 즐길 수 있는 스타일이다. 18세기 영국에서 인도에 맥주를 실어 나르며 맥주가 중간에 변질되지 않도록 많은 양의 홉을 투척해 탄생한 IPA 스토리를 재미있게 풀어내 ‘인도 도깨비’라는 이름을 지었다.  "
49,수요일의 고양이,요호 브루잉,벨지안 화이트 에일,4.5도,1,30,"수요일의 네코(고양이)는 홉의 쓴 맛을 최소화하고 밀 맥아의 부드러운 단맛과 산뜻한 산미를 돋보이게 만든 벨지안 화이트 에일이다. 일주일의 딱 중간 시점에 나타나는 ‘수요병’을 이 향긋한 맥주로 극복하자는 의미로 만들었으며, 달콤한 오렌지 향과 스파이시한 여운, 부드러운 질감을 가진 미디엄 또는 라이트 바디 스타일이다.  "
50,요나 요나 에일,요호 브루잉,아메리칸 페일 에일,5도,1,41,"최고급 Cascade 홉에서 오는 시트러스 향과 단맛, 쓴맛이 환상적인 조화를 이루는 미디움 바디 스타일의 아메리칸 페일 에일 맥주이다. ‘요나요나’는 ‘매일 밤마다’라는 뜻이다. 매일 밤 마실 만큼 맛있는 맥주라는 의미로 이름 지었다. 요호 브루잉의 대표 맥주로 일본 전역에서 판매되고 있다.  "
51,로스트 코스트 인디카 아이피에이,로스트 코스트 브루어리,인디아 페일 에일,6.5도,1,70,"미국 서부 해안에 최고의 IPA 중 하나로 풍부한 홉 향기와 자몽, 귤, 꽃향기가 입안 가득 퍼지며 상쾌하고 쌉싸름한 맛의 밸런스가 훌륭한 맥주이다.  "
52,로스트 코스트 샤키네이터 화이트 아이피에이,로스트 코스트 브루어리,세션 인디아 페일 에일,4.8도,1,30,"상쾌하고 달콤한 감귤과 고수, 밀, 홉의 향을 느낄 수 있으며 다양한 꽃의 향기와 풍미가 인상적인 맥주이다. 순하고 가벼워서 누구나 쉽게 마실 수 있는 세션 화이트 IPA이다  "
53,로스트 코스트 포그커터 더블 아이피에이,로스트 코스트 브루어리,더블 인디아 페일 에일,8.7도,1,80,잘 익은 과일의 향과 시트러스의 향을 느낄 수 있으며 맥아의 맛과 향이 완벽한 균형을 이루고 있다. 더블 IPA라는 이름에 걸맞게 IBU 80의 강한 쓴맛과 강렬한 풍미가 인상적인 맥주이다.  
54,로스트 코스트 아르 페일 에일,로스트 코스트 브루어리,페일 에일,5.2도,1,30,"적당한 탄산을 가진 밝은 황금색의 페일 에일로 Cascade, Centennial, Citra 홉이 첨가되어 자몽과 레몬의 상큼한 시트러스향 및 가벼운 쓴맛과 단맛을 동시에 느낄 수 있는 에일 맥주이다.  "
55,로스트 코스트 그레이트 화이트 윗비어,로스트 코스트 브루어리,위트 비어,4.8도,0,25,"신맛이 살짝 곁들어진 상쾌한 맛이 특징이며, light한 맛으로 여름철에 마시기 좋은 맥주이다. 특히 Humboldt 허브와 맥아 보리, 튀지 않은 밀을 원료로 사용한다.  "
56,로스트 코스트 텐저린 위트 에일 ,로스트 코스트 브루어리,위트 에일,5.5도,1,25,Loast Coast 농장에서 수확한 밀과 귤을 사용하여 신선한 느낌을 주는 Citrus Ale 맥주이다. 밀과 크리스탈 맥아의 조합으로 양조하고 펄 홉으로 숙성시켜 완성한 맥주이다.  
57,로스트 코스트 워터멜론 위트 에일,로스트 코스트 브루어리,위트 에일,5도,1,25,"미국 캘리포니아 유레카 지역에서 수확한 유기농 수박을 양조하여 달콤하고 상큼하며, 자연의 신선함을 담아 누구나 쉽게 즐기며 마실 수 있는 위트 에일이다.  "
58,로스트 코스트 애프리콧 위트 에일,로스트 코스트 브루어리,위트 에일,5도,1,25,"부드러운 탄산과 함께 달콤한 몰트, 살구, 복숭아의 맛과 향을 느낄 수 있으며 끝 맛이 깨끗한 위트 에일이다.  "
59,로스트 코스트 다운타운 브라운,로스트 코스트 브루어리,브라운 에일,5도,0,25,영국에서 수입한 초콜릿 몰트와 캐러멜 몰트를 사용하여 부드러운 감칠맛이 특징이다. 검은색을 띠고 있지만 포터나 스타우트처럼 무거운 맛이 없고 가볍고 호피한 맥주이다.  
60,로스트 코스트 에잇볼 스윗 스타우트,로스트 코스트 브루어리,스위트 스타우트,5.7도,0,40,크리미하고 부드러운 거품이 특징인 오트밀 스타우트로 구운 몰트와 홉을 풍성하게 사용하여 홉의 깊고 진한 맛을 느낄 수 있는 맥주이다.  
